"","race","sex","age","juv_fel_count","juv_misd_count","priors_count","charge_degree","two_year_recid","compas_decile_score","id"
"1",6,0,69,0,0,0,1,0,1,1
"2",2,0,34,0,0,0,1,1,3,3
"3",2,0,24,0,0,4,1,1,4,4
"4",2,0,23,0,1,1,1,0,8,5
"5",6,0,43,0,0,2,1,0,1,6
"6",6,0,44,0,0,0,0,0,1,7
"7",1,0,41,0,0,14,1,1,6,8
"8",6,0,43,0,0,3,1,0,4,9
"9",1,1,39,0,0,0,0,0,1,10
"10",1,0,21,0,0,1,1,1,3,13
"11",1,0,27,0,0,0,1,0,4,14
"12",2,0,23,0,0,3,0,1,6,15
"13",1,1,37,0,0,0,0,0,1,16
"14",2,0,41,0,0,0,1,0,4,18
"15",1,1,47,0,0,1,1,1,1,19
"16",2,0,31,0,0,7,1,1,3,20
"17",3,0,37,0,0,0,0,0,1,21
"18",2,0,25,0,0,3,1,0,10,22
"19",1,0,31,0,0,6,1,1,5,23
"20",1,0,31,0,0,5,1,1,3,24
"21",2,0,64,0,0,13,1,1,6,25
"22",2,0,21,0,0,1,1,1,9,26
"23",1,0,27,0,0,0,0,1,2,27
"24",1,1,21,0,0,0,1,0,4,28
"25",3,0,24,0,0,1,1,1,4,30
"26",1,0,43,0,0,1,0,0,1,32
"27",6,0,32,0,0,0,0,0,3,33
"28",2,0,27,0,0,8,1,1,3,37
"29",1,1,36,0,0,3,1,0,3,38
"30",2,0,26,0,0,5,1,1,7,39
"31",2,0,33,0,0,0,1,1,10,40
"32",1,0,30,0,0,9,1,1,9,41
"33",2,0,32,0,0,4,1,1,8,42
"34",1,0,55,0,0,0,1,0,1,45
"35",6,0,49,0,0,7,1,1,3,50
"36",1,0,26,0,0,6,0,0,8,51
"37",1,1,33,0,0,4,0,1,5,52
"38",1,0,24,0,0,1,0,1,2,53
"39",2,0,34,2,1,21,1,1,9,54
"40",1,0,29,0,0,0,0,0,2,55
"41",2,1,21,0,0,2,1,0,8,56
"42",2,0,51,0,0,2,0,0,1,57
"43",1,0,29,0,0,2,0,1,2,59
"44",2,1,51,0,0,7,1,0,2,61
"45",2,0,29,0,0,0,1,1,7,64
"46",1,0,25,0,0,9,0,1,10,66
"47",2,0,35,1,0,13,1,1,8,67
"48",1,0,49,0,0,0,0,0,1,68
"49",2,0,34,0,0,4,0,1,3,69
"50",2,0,29,0,0,0,1,0,4,70
"51",1,0,29,0,0,1,1,1,2,71
"52",6,1,28,0,0,0,1,0,2,72
"53",1,0,48,0,0,20,1,1,6,75
"54",3,1,63,0,0,1,1,0,1,77
"55",2,0,31,0,0,15,1,0,5,79
"56",2,0,24,0,0,2,1,1,4,80
"57",3,0,30,0,0,0,0,0,7,83
"58",2,0,49,0,0,4,0,0,1,84
"59",1,0,53,0,0,8,1,0,5,85
"60",2,0,35,0,0,5,1,0,3,87
"61",2,0,63,0,0,10,0,1,7,88
"62",2,0,27,1,1,15,1,1,10,90
"63",1,0,38,0,0,4,0,1,2,91
"64",2,0,22,0,0,1,1,1,4,93
"65",2,0,22,0,1,2,1,1,10,95
"66",2,0,29,0,0,4,1,1,9,96
"67",3,0,62,0,0,0,0,0,1,97
"68",2,0,27,0,1,6,1,1,6,98
"69",6,0,33,0,0,0,0,0,1,99
"70",2,1,56,0,0,0,0,0,1,100
"71",3,0,45,0,0,6,1,1,1,101
"72",3,0,22,0,0,1,1,0,4,102
"73",2,0,39,0,0,1,0,0,4,105
"74",2,0,29,0,0,5,1,1,6,107
"75",1,0,27,0,0,1,1,1,6,108
"76",2,0,40,0,0,2,1,0,2,111
"77",2,0,22,0,0,1,0,1,3,113
"78",1,0,22,0,0,0,1,0,8,114
"79",2,1,26,0,0,1,1,1,4,115
"80",1,0,27,0,0,1,1,1,7,116
"81",2,0,32,0,0,0,1,0,2,119
"82",2,0,41,0,0,1,0,0,2,120
"83",2,0,30,0,0,8,0,1,10,122
"84",6,0,50,0,0,0,1,1,1,127
"85",2,0,25,1,6,14,1,1,10,128
"86",6,0,20,0,0,0,1,1,5,130
"87",2,0,22,1,0,2,1,1,9,131
"88",2,0,23,0,0,2,0,1,7,132
"89",2,1,35,0,0,1,0,0,2,136
"90",2,0,36,0,0,9,1,1,7,137
"91",1,0,26,0,0,7,1,1,8,138
"92",6,0,21,0,0,1,1,1,6,139
"93",1,0,25,0,0,9,1,1,8,142
"94",2,0,71,0,0,12,0,0,7,143
"95",1,1,20,0,0,0,1,0,7,145
"96",1,0,39,0,0,2,1,1,1,146
