state,called,final,dem_votes,rep_votes,other_votes,dem_percent,rep_percent,other_percent,dem_this_margin,margin_shift,vote_change,stateid,EV,State_num,Center_X,Center_Y,margin2016,totalvotes16
Alabama,R,Yes,849624,1441170,32488,0.3660,0.6200,0.0140,-0.2550,0.0230,0.0940,AL,9,1,674,424,-0.277251466,2123372
Alaska,R,Yes,153778,189951,15801,0.4280,0.5280,0.0440,-0.1010,0.0470,0.1280,AK,3,2,105,512,-0.147306408,318608
Arizona,D,Yes,1672143,1661686,53497,0.4940,0.4910,0.0160,0.0030,0.0390,0.3160,AZ,11,4,205,374,-0.035455946,2573165
Arkansas,R,Yes,423932,760647,34490,0.3480,0.6240,0.0280,-0.2760,-0.0070,0.0780,AR,6,5,564,386,-0.26920978,1130635
California,D,Yes,11110250,6006429,384192,0.6350,0.3430,0.0220,0.2920,-0.0090,0.2340,CA,55,6,75,283,0.301092931,14181595
Colorado,D,Yes,1804352,1364607,87993,0.5540,0.4190,0.0270,0.1350,0.0860,0.1710,CO,9,8,330,284,0.049055354,2780220
Connecticut,D,Yes,1080831,714717,28309,0.5930,0.3920,0.0160,0.2010,0.0640,0.1090,CT,7,9,886,190,0.136393867,1644920
Delaware,D,Yes,296268,200603,7475,0.5870,0.3980,0.0150,0.1900,0.0760,0.1420,DE,3,10,853,258,0.113732329,441590
District of Columbia,D,Yes,317323,18586,8447,0.9210,0.0540,0.0250,0.8680,0.0000,0.1060,DC,3,11,829,264,0.867763471,311268
Florida,R,Yes,5297045,5668731,101680,0.4790,0.5120,0.0090,-0.0340,-0.0220,0.1750,FL,29,12,787,520,-0.011986256,9420039
Georgia,D,Yes,2473633,2461854,62229,0.4950,0.4930,0.0120,0.0020,0.0540,0.2210,GA,16,13,734,419,-0.051313427,4092373
Hawaii,D,Yes,366130,196864,11475,0.6370,0.3430,0.0200,0.2950,-0.0270,0.3390,HI,4,15,272,570,0.321828147,428937
Idaho,R,Yes,287021,554119,26091,0.3310,0.6390,0.0300,-0.3080,0.0100,0.2560,ID,4,16,195,148,-0.317694186,690255
Illinois,D,Yes,3471915,2446891,114938,0.5750,0.4060,0.0190,0.1700,-0.0010,0.0900,IL,20,17,614,264,0.170636136,5536424
Indiana,R,Yes,1242413,1729516,61183,0.4100,0.5700,0.0200,-0.1610,0.0310,0.1090,IN,11,18,669,264,-0.191651938,2734958
Iowa,R,Yes,759061,897672,34138,0.4490,0.5310,0.0200,-0.0820,0.0120,0.0800,IA,6,19,536,223,-0.094068381,1566031
Kansas,R,Yes,570323,771406,30574,0.4160,0.5620,0.0220,-0.1470,0.0590,0.1590,KS,6,20,457,307,-0.206022111,1184402
Kentucky,R,Yes,772474,1326646,37648,0.3620,0.6210,0.0180,-0.2590,0.0390,0.1110,KY,8,21,706,314,-0.298374502,1924149
Louisiana,R,Yes,856034,1255776,36252,0.3990,0.5850,0.0170,-0.1860,0.0100,0.0590,LA,8,22,560,456,-0.196391186,2029032
Maine,D,Yes,435072,360737,23652,0.5310,0.4400,0.0290,0.0910,0.0610,0.0960,ME,2,23,919,92,0.029604493,747927
Maine 1st District,D,Yes,266376,164045,12691,0.6010,0.3700,0.0290,0.2310,0.0830,0.1240,ME1,1,101,919,92,0.148074324,394329
Maine 2nd District,R,Yes,168696,196692,10961,0.4480,0.5230,0.0290,-0.0740,0.0280,0.0650,ME2,1,102,919,92,-0.10288159,353416
Maryland,D,Yes,1985023,976414,75593,0.6540,0.3220,0.0250,0.3320,0.0680,0.0920,MD,10,24,825,254,0.264164395,2781446
Massachusetts,D,Yes,2382202,1167202,81998,0.6560,0.3210,0.0230,0.3350,0.0630,0.0920,MA,11,25,895,169,0.271967065,3325046
Michigan,D,Yes,2804040,2649852,85410,0.5060,0.4780,0.0150,0.0280,0.0300,0.1540,MI,16,26,681,190,-0.002230333,4799284
Minnesota,D,Yes,1717077,1484065,76029,0.5240,0.4530,0.0230,0.0710,0.0560,0.1130,MN,10,27,519,120,0.015201305,2944813
Mississippi,R,Yes,539508,756789,17597,0.4110,0.5760,0.0130,-0.1650,0.0130,0.0860,MS,6,28,617,427,-0.178262498,1209357
Missouri,R,Yes,1253014,1718736,54212,0.4140,0.5680,0.0180,-0.1540,0.0320,0.0770,MO,10,29,557,305,-0.18637117,2808605
Montana,R,Yes,244786,343602,15286,0.4050,0.5690,0.0250,-0.1640,0.0410,0.2140,MT,3,30,289,95,-0.204227321,497147
Nebraska,R,Yes,374583,556846,20283,0.3940,0.5850,0.0210,-0.1920,0.0590,0.1270,NE,2,31,438,238,-0.250485948,844289
Nebraska 1st District,R,Yes,132261,180290,7495,0.4130,0.5630,0.0230,-0.1500,0.0570,0.1340,NE1,1,103,438,238,-0.207198464,282338
Nebraska 2nd District,D,Yes,176468,154377,6909,0.5220,0.4570,0.0200,0.0650,0.0880,0.1580,NE2,1,104,438,238,-0.022401262,291680
Nebraska 3rd District,R,Yes,65854,222179,5879,0.2240,0.7560,0.0200,-0.5320,0.0100,0.0880,NE3,1,105,438,238,-0.541881241,270109
Nevada,D,Yes,703486,669890,32000,0.5010,0.4770,0.0230,0.0240,0.0000,0.2490,NV,6,32,136,240,0.024171284,1125385
New Hampshire,D,Yes,424921,365654,15607,0.5270,0.4540,0.0190,0.0740,0.0700,0.0830,NH,4,33,895,146,0.003675957,744158
New Jersey,D,Yes,2608335,1883274,57744,0.5730,0.4140,0.0130,0.1590,0.0180,0.1740,NJ,14,34,865,231,0.141026978,3874046
New Mexico,D,Yes,501614,401894,20457,0.5430,0.4350,0.0220,0.1080,0.0260,0.1570,NM,5,35,309,385,0.082131328,798318
New York,D,Yes,5244886,3251997,119978,0.6090,0.3770,0.0140,0.2310,0.0060,0.1160,NY,29,36,838,168,0.224904561,7721453
North Carolina,R,Yes,2684292,2758775,81737,0.4860,0.4990,0.0150,-0.0130,0.0230,0.1650,NC,15,37,808,349,-0.036552285,4741564
North Dakota,R,Yes,114902,235595,11322,0.3180,0.6510,0.0310,-0.3340,0.0240,0.0510,ND,3,38,426,97,-0.357288884,344360
Ohio,R,Yes,2679165,3154834,88203,0.4520,0.5330,0.0150,-0.0800,0.0010,0.0770,OH,18,39,720,250,-0.081295744,5496487
Oklahoma,R,Yes,503890,1020280,36529,0.3230,0.6540,0.0230,-0.3310,0.0330,0.0740,OK,7,40,477,377,-0.363911845,1452992
Oregon,D,Yes,1340383,958448,75490,0.5650,0.4040,0.0320,0.1610,0.0510,0.1860,OR,7,41,97,134,0.109778168,2001336
Pennsylvania,D,Yes,3458229,3377674,79380,0.5000,0.4880,0.0110,0.0120,0.0190,0.1310,PA,20,42,806,221,-0.007183871,6115402
Rhode Island,D,Yes,307486,199922,10349,0.5940,0.3860,0.0200,0.2080,0.0530,0.1160,RI,4,44,904,183,0.155085491,464144
South Carolina,R,Yes,1091541,1385103,36685,0.4340,0.5510,0.0150,-0.1170,0.0260,0.1950,SC,9,45,783,394,-0.142659129,2103027
South Dakota,R,Yes,150471,261043,11095,0.3560,0.6180,0.0260,-0.2620,0.0360,0.1420,SD,3,46,430,168,-0.297933222,370093
Tennessee,R,Yes,1143711,1852475,57665,0.3750,0.6070,0.0190,-0.2320,0.0280,0.2180,TN,11,47,670,360,-0.260057009,2508027
Texas,R,Yes,5259126,5890347,165583,0.4650,0.5210,0.0150,-0.0560,0.0340,0.2620,TX,38,48,444,471,-0.089994276,8969226
Utah,R,Yes,560282,865140,62867,0.3760,0.5810,0.0420,-0.2050,-0.0240,0.3150,UT,6,49,225,266,-0.180793332,1131430
Vermont,D,Yes,242820,112704,11904,0.6610,0.3070,0.0320,0.3540,0.0900,0.1660,VT,3,50,873,134,0.264083512,315067
Virginia,D,Yes,2413568,1962430,84526,0.5410,0.4400,0.0190,0.1010,0.0480,0.1200,VA,13,51,809,299,0.053211954,3982752
Washington,D,Yes,2369612,1584651,133368,0.5800,0.3880,0.0330,0.1920,0.0350,0.2150,WA,12,53,128,58,0.157059999,3365644
West Virginia,R,Yes,235984,545382,13286,0.2970,0.6860,0.0170,-0.3890,0.0310,0.1140,WV,5,54,765,284,-0.420726936,713051
Wisconsin,D,Yes,1630866,1610184,56991,0.4940,0.4880,0.0170,0.0060,0.0140,0.1080,WI,10,55,601,169,-0.007643432,2976150
Wyoming,R,Yes,73491,193559,9715,0.2660,0.6990,0.0350,-0.4340,0.0290,0.0820,WY,3,56,306,187,-0.462952757,255849
