"treat","quran","votenahda","stress","relrev","age","female","own","inc","edu","urb","marriage","unemp","stud","enum","enumfemale","room","sharia","pray","votenidaa","votejabha","voteirada","votepoor","votegoods","voteAllah","voteAllah2","voteAllah3","voteAllahrank","voteAllahrank3"
0,0,1,1,1,35,0,0,7,5,1,0,0,0,"2",1,"1",3.25,4,0,0,0,2,2,2,0,0,0,NA
1,0,0,2,3,22,0,1,3,3,0,0,0,1,"6",1,"1",1.5,4,1,0,0,3,3,3,1,0,6,1
1,0,1,1,4,22,1,0,8,2,1,0,0,0,"6",1,"1",1.75,3,0,0,0,4,4,4,1,1,5,1
1,0,0,2,3,32,0,0,5,1,0,0,1,0,"6",1,"1",2.75,4,1,0,0,3,3,3,1,0,5,1
0,0,0,1,2,22,1,1,4,4,1,0,0,1,"6",1,"1",3,2,0,0,1,NA,NA,NA,NA,NA,NA,NA
0,0,0,2,2,20,0,1,9,3,1,0,0,1,"6",1,"1",1,1,1,0,0,NA,1,3,1,0,5,1
1,0,0,2,1,18,1,2,9,3,1,0,0,1,"7",1,"2",NA,3,0,0,0,4,4,4,1,1,2,0
0,0,0,1,1,31,0,1,6,5,1,0,1,0,"7",1,"2",4,1,0,0,0,4,3,2,0,0,0,NA
1,0,1,1,4,27,1,1,4,2,1,1,1,0,"7",1,"2",4,5,0,0,0,4,3,4,1,1,6,1
1,0,0,1,3,22,1,1,10,5,1,0,1,0,"7",1,"2",3.25,3,0,0,0,3,3,3,1,0,2,0
1,0,0,1,1,20,1,2,7,4,1,0,0,1,"7",1,"2",1.25,1,0,1,0,4,4,4,1,1,3,0
1,0,0,1,5,37,0,0,6,2,0,1,1,0,"7",1,"2",NA,2,0,1,0,4,4,NA,NA,NA,NA,NA
0,0,0,1,3,18,1,1,10,4,1,0,0,1,"11",1,"2",2.5,2,1,0,0,3,2,2,0,0,0,NA
0,0,0,1,5,57,0,1,7,4,0,1,0,0,"11",1,"2",2.75,5,0,1,0,3,3,1,0,0,0,NA
0,0,0,1,5,24,1,2,9,5,1,0,1,0,"11",1,"2",3.25,4,0,0,0,2,2,3,1,0,6,1
1,0,0,2,1,29,0,1,8,5,1,0,1,0,"11",1,"2",3.5,4,0,0,0,4,2,2,0,0,0,NA
1,0,0,1,3,41,0,1,7,2,0,0,0,0,"11",1,"2",3.25,2,0,1,0,2,3,3,1,0,4,0
1,0,0,1,3,30,0,1,10,6,1,0,1,0,"11",1,"2",2.25,4,0,0,0,2,3,2,0,0,0,NA
1,0,1,2,3,23,1,1,8,5,0,0,1,0,"4",1,"3",2,4,0,0,0,3,3,3,1,0,4,0
0,0,0,2,5,22,0,0,3,2,0,0,1,0,"4",1,"3",1,1,1,0,0,2,2,2,0,0,0,NA
0,0,0,1,3,28,0,0,5,6,0,0,1,0,"4",1,"3",2.5,1,0,0,0,3,3,3,1,0,3,0
1,0,0,1,5,32,0,2,5,5,1,0,0,0,"4",1,"3",3,3,0,0,0,4,4,4,1,1,6,1
0,0,0,2,1,60,0,0,2,2,1,0,1,0,"4",1,"3",NA,1,1,0,0,3,3,NA,NA,NA,NA,NA
0,0,0,1,1,52,0,1,6,6,1,1,0,0,"4",1,"3",2.5,3,0,0,0,3,2,1,0,0,0,NA
0,0,0,4,5,29,0,2,9,5,1,0,0,1,"4",1,"3",2.5,1,0,0,0,3,3,1,0,0,0,NA
0,0,0,1,5,60,0,0,6,4,0,1,0,0,"3",1,"1",3,4,0,1,0,3,4,4,1,1,4,0
1,0,1,1,5,54,0,0,3,2,1,1,0,0,"3",1,"3",3.25,4,0,0,0,4,4,4,1,1,6,1
1,0,1,1,5,21,1,0,6,3,0,0,1,0,"3",1,"3",3.5,5,0,0,0,4,4,4,1,1,3,0
1,0,0,1,2,22,1,2,8,5,1,0,1,0,"3",1,"3",3,3,1,0,0,1,3,1,0,0,0,NA
0,0,1,1,2,20,1,2,10,4,1,0,0,1,"3",1,"3",3.25,4,0,0,0,2,3,2,0,0,0,NA
0,0,0,1,2,22,1,2,10,4,1,0,0,1,"3",1,"3",2.5,3,0,0,1,1,1,4,1,1,5,1
0,0,0,1,1,19,1,2,9,4,1,0,0,1,"3",1,"3",1.75,2,0,1,0,4,4,1,0,0,0,NA
1,0,0,1,5,32,0,2,8,6,1,0,1,0,"3",1,"3",2.5,4,1,0,0,1,3,3,1,0,5,1
0,0,0,3,4,22,1,1,7,4,1,0,0,1,"1",0,"1",2.25,4,0,0,1,2,3,NA,NA,NA,NA,NA
1,0,0,1,5,30,0,0,10,4,1,0,0,0,"1",0,"1",3.25,1,0,0,0,4,4,4,1,1,1,0
1,0,0,2,5,27,1,1,5,3,1,0,1,0,"1",0,"1",3.5,4,1,0,0,3,3,2,0,0,0,NA
0,0,0,1,5,31,0,0,5,2,0,0,1,0,"1",0,"1",2.5,1,0,0,0,2,3,3,1,0,4,0
