"","X","justiceName","term","post_mn"
"1",12,"AMKennedy",1991,0.85
"2",13,"AMKennedy",1992,1.033
"3",14,"AMKennedy",1993,0.874
"4",15,"AMKennedy",1994,0.851
"5",16,"AMKennedy",1995,0.746
"6",17,"AMKennedy",1996,0.84
"7",18,"AMKennedy",1997,0.827
"8",19,"AMKennedy",1998,0.953
"9",20,"AMKennedy",1999,1.092
"10",21,"AMKennedy",2000,0.971
"11",22,"AMKennedy",2001,1.059
"12",23,"AMKennedy",2002,0.902
"13",24,"AMKennedy",2003,0.771
"14",25,"AMKennedy",2004,0.541
"16",27,"AMKennedy",2006,0.461
"17",28,"AMKennedy",2007,0.412
"18",29,"AMKennedy",2008,0.579
"19",30,"AMKennedy",2009,0.522
"20",31,"AMKennedy",2010,0.587
"21",32,"AMKennedy",2011,0.307
"22",33,"AMKennedy",2012,0.253
"23",34,"AMKennedy",2013,0.075
"24",35,"AMKennedy",2014,-0.219
"25",36,"AMKennedy",2015,-0.262
"26",37,"AMKennedy",2016,-0.043
"27",38,"AMKennedy",2017,0.407
"28",44,"AScalia",1991,2.511
"29",45,"AScalia",1992,2.555
"30",46,"AScalia",1993,2.651
"31",47,"AScalia",1994,2.897
"32",48,"AScalia",1995,3.181
"33",49,"AScalia",1996,3.404
"34",50,"AScalia",1997,3.48
"35",51,"AScalia",1998,3.455
"36",52,"AScalia",1999,3.537
"37",53,"AScalia",2000,3.535
"38",54,"AScalia",2001,3.382
"39",55,"AScalia",2002,3.091
"40",56,"AScalia",2003,2.927
"41",57,"AScalia",2004,2.727
"43",59,"AScalia",2006,2.608
"44",60,"AScalia",2007,2.458
"45",61,"AScalia",2008,2.342
"46",62,"AScalia",2009,2.312
"47",63,"AScalia",2010,2.145
"48",64,"AScalia",2011,2.072
"49",65,"AScalia",2012,1.752
"50",66,"AScalia",2013,1.624
"51",67,"AScalia",2014,1.548
"52",68,"AScalia",2015,1.621
"53",69,"BMKavanaugh",2018,0.568
"54",70,"BMKavanaugh",2019,0.513
"55",102,"BRWhite",1991,0.634
"56",103,"BRWhite",1992,0.581
"57",114,"CThomas",1991,2.739
"58",115,"CThomas",1992,3.034
"59",116,"CThomas",1993,3.419
"60",117,"CThomas",1994,3.643
"61",118,"CThomas",1995,3.737
"62",119,"CThomas",1996,3.806
"63",120,"CThomas",1997,3.793
"64",121,"CThomas",1998,3.819
"65",122,"CThomas",1999,3.772
"66",123,"CThomas",2000,3.797
"67",124,"CThomas",2001,3.767
"68",125,"CThomas",2002,3.898
"69",126,"CThomas",2003,3.92
"70",127,"CThomas",2004,3.966
"72",129,"CThomas",2006,3.976
"73",130,"CThomas",2007,3.842
"74",131,"CThomas",2008,3.616
"75",132,"CThomas",2009,3.494
"76",133,"CThomas",2010,3.335
"77",134,"CThomas",2011,3.323
"78",135,"CThomas",2012,3.302
"79",136,"CThomas",2013,3.357
"80",137,"CThomas",2014,3.387
"81",138,"CThomas",2015,3.451
"82",139,"CThomas",2016,3.51
"83",140,"CThomas",2017,3.504
"84",141,"CThomas",2018,3.606
"85",142,"CThomas",2019,3.691
"86",144,"DHSouter",1991,0.605
"87",145,"DHSouter",1992,0.257
