"","term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975"
"1",2020,117,"ACBarrett",0.985,0.315,0.975,0.397,1.631
"2",2021,117,"ACBarrett",1.039,0.274,1.029,0.53,1.604
"3",2022,117,"ACBarrett",0.824,0.323,0.813,0.219,1.488
"15",1991,106,"AMKennedy",0.862,0.204,0.857,0.475,1.274
"16",1992,106,"AMKennedy",1.033,0.216,1.028,0.621,1.47
"17",1993,106,"AMKennedy",0.877,0.22,0.873,0.458,1.32
"18",1994,106,"AMKennedy",0.851,0.213,0.847,0.446,1.279
"19",1995,106,"AMKennedy",0.742,0.211,0.738,0.339,1.167
"20",1996,106,"AMKennedy",0.835,0.211,0.831,0.432,1.26
"21",1997,106,"AMKennedy",0.824,0.224,0.82,0.398,1.276
"22",1998,106,"AMKennedy",0.952,0.224,0.947,0.527,1.405
"23",1999,106,"AMKennedy",1.09,0.228,1.085,0.656,1.549
"24",2000,106,"AMKennedy",0.968,0.223,0.962,0.548,1.42
"25",2001,106,"AMKennedy",1.054,0.231,1.049,0.615,1.521
"26",2002,106,"AMKennedy",0.9,0.238,0.896,0.443,1.379
"27",2003,106,"AMKennedy",0.767,0.224,0.763,0.341,1.218
"28",2004,106,"AMKennedy",0.542,0.222,0.539,0.117,0.988
"30",2006,106,"AMKennedy",0.457,0.203,0.454,0.066,0.864
"31",2007,106,"AMKennedy",0.411,0.219,0.408,-0.012,0.847
"32",2008,106,"AMKennedy",0.573,0.204,0.57,0.181,0.982
"33",2009,106,"AMKennedy",0.512,0.215,0.509,0.098,0.942
"34",2010,106,"AMKennedy",0.574,0.214,0.571,0.162,1.002
"35",2011,106,"AMKennedy",0.29,0.212,0.288,-0.12,0.71
"36",2012,106,"AMKennedy",0.237,0.205,0.236,-0.161,0.644
"37",2013,106,"AMKennedy",0.063,0.232,0.063,-0.391,0.519
"38",2014,106,"AMKennedy",-0.233,0.212,-0.232,-0.652,0.179
"39",2015,106,"AMKennedy",-0.279,0.232,-0.279,-0.735,0.173
"40",2016,106,"AMKennedy",-0.061,0.231,-0.061,-0.516,0.393
"41",2017,106,"AMKennedy",0.382,0.235,0.38,-0.071,0.852
"47",1991,105,"AScalia",2.513,0.315,2.506,1.917,3.15
"48",1992,105,"AScalia",2.553,0.352,2.544,1.888,3.265
"49",1993,105,"AScalia",2.654,0.369,2.645,1.958,3.4
"50",1994,105,"AScalia",2.897,0.382,2.888,2.176,3.67
"51",1995,105,"AScalia",3.184,0.392,3.175,2.44,3.978
"52",1996,105,"AScalia",3.405,0.402,3.397,2.642,4.218
"53",1997,105,"AScalia",3.478,0.416,3.47,2.686,4.315
"54",1998,105,"AScalia",3.463,0.431,3.455,2.64,4.332
"55",1999,105,"AScalia",3.539,0.427,3.53,2.729,4.399
"56",2000,105,"AScalia",3.535,0.419,3.527,2.739,4.379
"57",2001,105,"AScalia",3.382,0.415,3.373,2.596,4.221
"58",2002,105,"AScalia",3.084,0.42,3.074,2.294,3.93
"59",2003,105,"AScalia",2.912,0.409,2.901,2.145,3.739
"60",2004,105,"AScalia",2.713,0.402,2.703,1.955,3.53
"62",2006,105,"AScalia",2.587,0.371,2.578,1.885,3.337
"63",2007,105,"AScalia",2.431,0.358,2.422,1.755,3.159
"64",2008,105,"AScalia",2.314,0.351,2.305,1.655,3.026
"65",2009,105,"AScalia",2.283,0.343,2.274,1.636,2.979
"66",2010,105,"AScalia",2.114,0.345,2.104,1.463,2.817
"67",2011,105,"AScalia",2.036,0.33,2.027,1.418,2.71
"68",2012,105,"AScalia",1.714,0.329,1.701,1.107,2.397
"69",2013,105,"AScalia",1.579,0.343,1.566,0.944,2.289
"70",2014,105,"AScalia",1.506,0.351,1.488,0.872,2.247
"71",2015,105,"AScalia",1.583,0.446,1.57,0.742,2.496
"72",2018,116,"BMKavanaugh",0.595,0.261,0.589,0.096,1.121
"73",2019,116,"BMKavanaugh",0.556,0.234,0.552,0.109,1.026
"74",2020,116,"BMKavanaugh",0.57,0.238,0.566,0.115,1.048
"75",2021,116,"BMKavanaugh",0.623,0.233,0.618,0.179,1.095
"76",2022,116,"BMKavanaugh",0.45,0.293,0.445,-0.113,1.042
"108",1991,95,"BRWhite",0.636,0.191,0.633,0.271,1.02
"109",1992,95,"BRWhite",0.582,0.229,0.576,0.147,1.048
"120",1991,108,"CThomas",2.734,0.471,2.71,1.881,3.719
"121",1992,108,"CThomas",3.031,0.461,3.011,2.188,3.992
"122",1993,108,"CThomas",3.415,0.445,3.399,2.592,4.335
"123",1994,108,"CThomas",3.636,0.448,3.621,2.802,4.558
"124",1995,108,"CThomas",3.73,0.459,3.714,2.875,4.674
"125",1996,108,"CThomas",3.804,0.466,3.789,2.932,4.757
"126",1997,108,"CThomas",3.798,0.479,3.783,2.903,4.779
"127",1998,108,"CThomas",3.825,0.484,3.808,2.923,4.819
"128",1999,108,"CThomas",3.774,0.492,3.757,2.854,4.786
"129",2000,108,"CThomas",3.802,0.494,3.785,2.882,4.823
"130",2001,108,"CThomas",3.759,0.509,3.745,2.804,4.807
"131",2002,108,"CThomas",3.889,0.501,3.874,2.953,4.913
"132",2003,108,"CThomas",3.903,0.504,3.889,2.954,4.925
"133",2004,108,"CThomas",3.936,0.499,3.923,2.995,4.949
"135",2006,108,"CThomas",3.906,0.483,3.895,3.002,4.888
"136",2007,108,"CThomas",3.759,0.48,3.745,2.858,4.734
"137",2008,108,"CThomas",3.501,0.493,3.487,2.584,4.504
"138",2009,108,"CThomas",3.351,0.49,3.333,2.445,4.357
"139",2010,108,"CThomas",3.17,0.498,3.15,2.253,4.197
"140",2011,108,"CThomas",3.126,0.484,3.106,2.235,4.128
"141",2012,108,"CThomas",3.064,0.479,3.044,2.179,4.058
"142",2013,108,"CThomas",3.074,0.474,3.056,2.192,4.051
"143",2014,108,"CThomas",3.053,0.466,3.035,2.193,4.018
"144",2015,108,"CThomas",3.053,0.46,3.035,2.2,3.997
"145",2016,108,"CThomas",3.036,0.451,3.022,2.197,3.962
"146",2017,108,"CThomas",2.92,0.447,2.904,2.094,3.842
"147",2018,108,"CThomas",2.903,0.438,2.885,2.096,3.812
"148",2019,108,"CThomas",2.801,0.442,2.779,1.996,3.728
"149",2020,108,"CThomas",2.527,0.478,2.502,1.664,3.538
"150",2021,108,"CThomas",2.501,0.49,2.47,1.633,3.544
"151",2022,108,"CThomas",2.355,0.55,2.32,1.378,3.526
"153",1991,107,"DHSouter",0.606,0.189,0.603,0.242,0.985
"154",1992,107,"DHSouter",0.257,0.186,0.256,-0.106,0.625
"155",1993,107,"DHSouter",-0.235,0.194,-0.234,-0.62,0.142
"156",1994,107,"DHSouter",-0.334,0.196,-0.332,-0.724,0.045
"157",1995,107,"DHSouter",-0.378,0.198,-0.376,-0.772,0.003
"158",1996,107,"DHSouter",-0.319,0.196,-0.317,-0.708,0.059
"159",1997,107,"DHSouter",-0.419,0.21,-0.416,-0.838,-0.016
"160",1998,107,"DHSouter",-0.485,0.206,-0.481,-0.9,-0.091
"161",1999,107,"DHSouter",-0.935,0.222,-0.93,-1.385,-0.514
"162",2000,107,"DHSouter",-1.208,0.242,-1.202,-1.7,-0.75
"163",2001,107,"DHSouter",-1.403,0.263,-1.396,-1.935,-0.906
"164",2002,107,"DHSouter",-1.517,0.281,-1.511,-2.083,-0.982
