"","state","poll_id","BidenPoll","TrumpPoll","days_to_election","fte_grade","sample_size","BidenResult","TrumpResult","EV","stateid"
"1","Alabama",70344,42.24,54.78,63,"C",1354,36.6,62,9,"AL"
"2","Alabama",71731,38,60,40,"C",2985,36.6,62,9,"AL"
"3","Alabama",70496,39.11,57.29,148,"C",649,36.6,62,9,"AL"
"4","Alabama",71156,39,59,47,"C",2265,36.6,62,9,"AL"
"5","Alabama",67879,36,58,102,"B",609,36.6,62,9,"AL"
"6","Alabama",71431,38,60,43,"C",2710,36.6,62,9,"AL"
"7","Alabama",71618,38,60,41,"C",2890,36.6,62,9,"AL"
"8","Alabama",72763,37.8,55,7,"C",330,36.6,62,9,"AL"
"9","Alabama",72394,38,60,18,"C",1786,36.6,62,9,"AL"
"10","Alabama",71516,38,60,43,"C",2781,36.6,62,9,"AL"
"11","Alabama",71434,38,55,23,"B/C",504,36.6,62,9,"AL"
"12","Alabama",69581,44,48,78,"B/C",600,36.6,62,9,"AL"
"13","Alabama",70395,36.69,60.1,94,"C",1220,36.6,62,9,"AL"
"14","Alabama",66864,39,53,173,"C/D",601,36.6,62,9,"AL"
"15","Alabama",71062,39,59,48,"C",2149,36.6,62,9,"AL"
"16","Alabama",72859,36,62,14,"C",1808,36.6,62,9,"AL"
"17","Alabama",70445,38.86,58.43,125,"C",1583,36.6,62,9,"AL"
"18","Alabama",72574,38,60,16,"C",1714,36.6,62,9,"AL"
"19","Alabama",71291,39,59,46,"C",2591,36.6,62,9,"AL"
"20","Alabama",71814,38,61,39,"C",3038,36.6,62,9,"AL"
"21","Alabama",67048,40.6,55,124,"B/C",558,36.6,62,9,"AL"
"22","Alabama",71942,38,61,37,"C",3120,36.6,62,9,"AL"
"23","Alabama",72027,38,61,37,"C",3122,36.6,62,9,"AL"
"24","Alabama",72473,38,60,17,"C",1752,36.6,62,9,"AL"
"25","Alabama",72137,37,61,34,"C",3255,36.6,62,9,"AL"
"26","Alabama",71349,39,59,44,"C",2675,36.6,62,9,"AL"
"27","Alabama",70580,37.2,56.8,34,"B/C",1072,36.6,62,9,"AL"
"28","Alabama",72712,36,62,14,"C",1608,36.6,62,9,"AL"
"29","Alabama",72591,38,58,7,"B",1045,36.6,62,9,"AL"
"30","Alabama",72291,37,61,33,"C",3363,36.6,62,9,"AL"
"31","Alabama",71230,39,59,46,"C",2449,36.6,62,9,"AL"
"32","Alabama",71875,38,61,38,"C",3093,36.6,62,9,"AL"
